IG1.S	S	G2.M	M	M.G1	
ACD	ABCC5	ANLN	AHI1	 AGFG1	
ACYP1	ABHD10	AP3D1	AKIRIN2	AGPAT3	
ADAMTS1	ANKRD18A	ARHGAP19	ANKRD40	AKAP13	
ANKRD10	ASF1B	ARL4A	ANLN	AMD1	
APEX2	ATAD2	ARMC1	ANP32B	ANP32E	
ARGLU1	BBS2	ASXL1	ANP32E	ANTXR1	
ATAD2	BIVM	ATL2	ARHGAP19	BAG3	
BARD1	BLM	AURKB	ARL6IP1	BTBD3	
BRD7	BMI1	BCLAF1	ASXL1	CBX3	
C1orf63	BRCA1	BORA	ATF7IP	CDC42	
C7orf41	BRIP1	BRD8	AURKA	CDK7	
C14orf142	C5orf42	BUB3	BIRC2	CDKN3	
CAPN7	C11orf82	C2orf69	BIRC5	CEP70	
CASP2	CALD1	C14orf80	BUB1	CNIH4	
CASP8AP2	CALM2	CASP3	CADM1	CTR9	
CCNE1	CASP2	CBX5	CCDC88A	CWC15	
CCNE2	CCDC14	CCDC107	CCDC90B	DCP1A	
CDC6	CCDC84	CCNA2	CCNA2	DCTN6	
CDC25A	CCDC150	CCNF	CCNB2	DEXI	
CDCA7	CDC7	CDC16	CDC20	DKC1	
CDCA7L	CDC45	CDC25C	CDC25B	DNAJB6	
CEP57	CDCA5	CDCA2	CDC27	DSP	
CHAF1A	CDKN2AIP	CDCA3	CDC42EP1	DYNLL1	
CHAF1B	CENPM	CDCA8	CDCA3	EIF4E	
CLSPN	CENPQ	CDK1	CENPA	ELP3	
CREBZF	CERS6	CDKN1B	CENPE	FAM60A	
CTSD	CHML	CDKN2C	CENPF	FAM189B	
DIS3	COQ9	CDR2	CEP55	FOPNL	
DNAJC3	CPNE8	CENPL	CFLAR	FOXK2	
DONSON	CREBZF	CEP350	CIT	FXR1	
DSCC1	CRLS1	CFD	CKAP2	G3BP1	
DTL	DCAF16	CFLAR	CKAP5	GATA2	
E2F1	DEPDC7	CHEK2	CKS1B	GNB1	
EIF2A	DHFR	CKAP2	CKS2	GRPEL1	
ESD	DNA2	CKAP2L	CNOT10	GSPT1	
FAM105B	DNAJB4	CYTH2	CNTROB	GTF3C4	
FAM122A	DONSON	DCAF7	CTCF	HIF1A	
FLAD1	DSCC1	DHX8	CTNNA1	HMG20B	
GINS2	DYNC1LI2	DNAJB1	CTNND1	HMGCR	
GINS3	E2F8	ENTPD5	DEPDC1	HSD17B11	
GMNN	EIF4EBP2	ESPL1	DEPDC1B	HSPA8	
HELLS	ENOSF1	FADD	DIAPH3	ILF2	
HOXB4	ESCO2	FAM83D	DLGAP5	JMJD1C	
HRAS	EXO1	FAN1	DNAJA1	KDM5B	
HSF2	EZH2	FANCD2	DNAJB1	KIAA0586	
INSR	FAM178A	G2E3	DR1	KIF5B	
INTS8	FANCA	GABPB1	DZIP3	KPNB1	
IVNS1ABP	FANCI	GAS1	E2F5	KRAS	
KIAA1147	FEN1	GAS2L3	ECT2	LARP1	
KIAA1586	GCLM	H2AFX	FAM64A	LARP7	
LNPEP	GOLGA8A	HAUS8	FOXM1	LRIF1	
LUC7L3	GOLGA8B	HINT3	FYN	LYAR	
MCM2	H1F0	HIPK2	G2E3	MORF4L2	
MCM4	HELLS	HJURP	GADD45A	MRPL19	
MCM5	HIST1H2AC	HMGB2	GAS2L3	MRPS2	
MCM6	HIST1H4C	HN1	GOT1	MRPS18B	
MDM1	INTS7	HP1BP3	GRK6	MSL1	
MED31	KAT2A	HRSP12	GTSE1	MTPN	
MRI1	KAT2B	IFNAR1	HCFC1	NCOA3	
MSH2	KDELC1	IQGAP3	HMG20B	NFIA	
NASP	KIAA1598	KATNA1	HMGB3	NFIC	
NEAT1	LMO4	KCTD9	HMMR	NUCKS1	
NKTR	LYRM7	KDM4A	HN1	NUFIP2	
NPAT	MAN1A2	KIAA1524	HP1BP3	NUP37	
NUP43	MAP3K2	KIF5B	HPS4	ODF2	
ORC1	MASTL	KIF11	HS2ST1	OPN3	
OSBPL6	MBD4	KIF20B	HSPA8	PAK1IP1	
PANK2	MCM8	KIF22	HSPA13	PBK	
PCDH7	MLF1IP	KIF23	INADL	PCF11	
PCNA	MYCBP2	KIFC1	KIF2C	PLIN3	
PLCXD1	NAB1	KLF6	KIF5B	PPP2CA	
PMS1	NEAT1	KPNA2	KIF14	PPP2R2A	
PNN	NFE2L2	LBR	KIF20B	PPP6R3	
POLD3	NRD1	LIX1L	KLF9	PRC1	
RAB23	NSUN3	LMNB1	LBR	PSEN1	
RECQL4	NT5DC1	MAD2L1	LMNA	PTMS	
RMI2	NUP160	MALAT1	MCM4	PTTG1	
RNF113A	OGT	MELK	MDC1	RAD21	
RNPC3	ORC3	MGAT2	MIS18BP1	RAN	
SEC62	OSGIN2	MID1	MKI67	RHEB	
SKP2	PHIP	MIS18BP1	MLLT4	RPL13A	
SLBP	PHTF1	MND1	MZT1	SLC39A10	
SLC25A36	PHTF2	NCAPD3	NCAPD2	SNUPN	
SNHG10	PKMYT1	NCAPH	NCOA5	SRSF3	
SRSF7	POLA1	NCOA5	NEK2	STAG1	
SSR3	PRIM1	NDC80	NUF2	SYNCRIP	
TAF15	PTAR1	NEIL3	NUP35	TAF9	
TIPIN	RAD18	NFIC	NUP98	TCERG1	
TOPBP1	RAD51	NIPBL	NUSAP1	TLE3	
TRA2A	RAD51AP1	NMB	ODF2	TMEM138	
TTC14	RBBP8	NR3C1	ORAOV1	TOB2	
UBR7	REEP1	NUCKS1	PBK	TOP1	
UHRF1	RFC2	NUMA1	PCF11	TROAP	
UNG	RHOBTB3	NUSAP1	PLK1	TSC22D1	
USP53	RMI1	PIF1	POC1A	TULP4	
VPS72	RPA2	PKNOX1	POM121	UBE2D3	
WDR76	RRM1	POLQ	PPP1R10	VANGL1	
ZMYND19	RRM2	PPP1R2	PRPSAP1	VCL	
ZNF367	RSRC2	PSMD11	PRR11	WIPF2	
ZRANB2	SAP30BP	PSRC1	PSMG3	WWC1	
	SLC38A2	RANGAP1	PTP4A1	YY1	
	SP1	RCCD1	PTPN9	ZBTB7A	
	SRSF5	RDH11	PWP1	ZCCHC10	
	SVIP	RNF141	QRICH1	ZNF24	
	TOP2A	SAP30	RAD51C	ZNF281	
	TTC31	SKA3	RANGAP1	ZNF593	
	TTLL7	SMC4	RBM8A		
	TYMS	STAT1	RCAN1		
	UBE2T	STIL	RERE		
	UBL3	STK17B	RNF126		
	USP1	SUCLG2	RNF141		
	ZBED5	TFAP2A	RNPS1		
	ZWINT	TIMP1	RRP1		
		TMEM99	SEPHS1		
		TMPO	SETD8		
		TNPO2	SFPQ		
		TOP2A	SGOL2		
		TRAIP	SHCBP1		
		TRIM59	SMARCB1		
		TRMT2A	SMARCD1		
		TTF2	SPAG5		
		TUBA1A	SPTBN1		
		TUBB	SRF		
		TUBB2A	SRSF3		
		TUBB4B	SS18		
		TUBD1	SUV420H1		
		UACA	TACC3		
		UBE2C	THRAP3		
		VPS25	TLE3		
		VTA1	TMEM138		
		WSB1	TNPO1		
		ZNF587	TOMM34		
		ZNHIT2	TPX2		
			TRIP13		
			TSG101		
			TSN		
			TTK		
			TUBB4B		
			TXNDC9		
			TXNRD1		
			UBE2D3		
			USP13		
			USP16		
			VANGL1		
			WIBG		
			WSB1		
			YWHAH		
			ZC3HC1		
			ZFX		
			ZMYM1		
			ZNF207		
